epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.99268,2.88506,5.33661,4.48025,0,0,0,0,3.37883,5.96472,4.1588,0,0,0
2,2.65137,3.42022,5.53747,4.17045,0,0,0,0,3.379,5.96478,4.15873,1.17822e-06,1.17822e-06,1.17822e-06
3,3.21721,4.04456,5.69682,4.2376,0,0,0,0,3.37917,5.96488,4.15864,2.33288e-06,2.33288e-06,2.33288e-06
4,3.82888,3.49925,5.5744,4.2563,0,0,0,0,3.37935,5.96501,4.15854,3.46397e-06,3.46397e-06,3.46397e-06
5,4.41442,3.60104,5.66837,4.26961,0,0,0,0,3.37953,5.96519,4.15845,4.5715e-06,4.5715e-06,4.5715e-06
6,4.97324,3.20843,5.69527,4.23948,0,0,0,0,3.3797,5.9653,4.15838,5.65548e-06,5.65548e-06,5.65548e-06
7,5.55835,3.07749,5.71906,4.27327,0,0,0,0,3.37983,5.9654,4.15831,6.71588e-06,6.71588e-06,6.71588e-06
8,6.19335,3.08203,5.5307,4.22392,0,0,0,0,3.37999,5.96559,4.15824,7.75273e-06,7.75273e-06,7.75273e-06
9,6.75556,3.45539,5.84159,4.38892,0,0,0,0,3.38013,5.96569,4.15817,8.76602e-06,8.76602e-06,8.76602e-06
10,7.43319,3.46987,5.62159,4.34593,0,0,0,0,3.3803,5.9661,4.15809,9.75574e-06,9.75574e-06,9.75574e-06
11,8.00236,3.29242,5.5759,4.42001,0,0,0,0,3.38045,5.96623,4.15802,1.07219e-05,1.07219e-05,1.07219e-05
12,8.56184,3.04424,5.46505,4.21953,0,0,0,0,3.3806,5.9664,4.15794,1.16645e-05,1.16645e-05,1.16645e-05
13,9.10554,3.27037,5.40167,4.25876,0,0,0,0,3.38075,5.9665,4.15785,1.25835e-05,1.25835e-05,1.25835e-05
14,9.65725,3.38135,5.58683,4.28143,0,0,0,0,3.38089,5.96714,4.15779,1.3479e-05,1.3479e-05,1.3479e-05
15,10.2283,3.52928,5.43691,4.23531,0,0,0,0,3.38107,5.96754,4.1577,1.43509e-05,1.43509e-05,1.43509e-05
16,10.7814,3.32607,5.63015,4.24832,0,0,0,0,3.38121,5.96781,4.15763,1.51993e-05,1.51993e-05,1.51993e-05
17,11.3584,2.94534,5.45564,4.2595,0,0,0,0,3.38136,5.96823,4.15757,1.60241e-05,1.60241e-05,1.60241e-05
18,11.8726,2.27918,5.50564,4.25335,0,0,0,0,3.38136,5.96823,4.15757,1.68253e-05,1.68253e-05,1.68253e-05
19,12.5296,2.80608,5.27471,4.28073,0,0,0,0,3.38166,5.96864,4.15745,1.7603e-05,1.7603e-05,1.7603e-05
20,13.0411,3.54127,5.82327,4.29582,0,0,0,0,3.38166,5.96864,4.15745,1.83571e-05,1.83571e-05,1.83571e-05
21,13.5892,3.34764,5.39555,4.2811,0,0,0,0,3.38199,5.96917,4.15734,1.90876e-05,1.90876e-05,1.90876e-05
22,14.1215,3.46135,5.54572,4.25189,0,0,0,0,3.38199,5.96917,4.15734,1.97946e-05,1.97946e-05,1.97946e-05
23,14.6924,3.06528,5.70192,4.21096,0,0,0,0,3.3823,5.96942,4.15724,2.0478e-05,2.0478e-05,2.0478e-05
24,15.2239,3.17022,5.59749,4.46184,0,0,0,0,3.3823,5.96942,4.15724,2.11379e-05,2.11379e-05,2.11379e-05
25,15.8082,3.15212,5.62642,4.35717,0,0,0,0,3.38262,5.97068,4.15716,2.17741e-05,2.17741e-05,2.17741e-05
26,16.3468,3.12058,5.54503,4.21634,0,0,0,0,3.38262,5.97068,4.15716,2.23869e-05,2.23869e-05,2.23869e-05
27,16.9822,3.11022,5.54249,4.26692,0,0,0,0,3.38296,5.97154,4.15707,2.2976e-05,2.2976e-05,2.2976e-05
28,17.5182,3.64152,5.51801,4.37192,0,0,0,0,3.38296,5.97154,4.15707,2.35417e-05,2.35417e-05,2.35417e-05
29,18.1759,3.00993,5.5015,4.22397,0,0,0,0,3.38327,5.97195,4.157,2.40837e-05,2.40837e-05,2.40837e-05
