epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,55.4393,0.64685,0.93532,1.0205,0.67388,0.69073,0.85257,0.56179,1.6249,1.47914,1.36476,2.82082e-05,2.82082e-05,2.82082e-05
40,56.7028,0.80203,0.83737,1.16673,0.67388,0.69073,0.85257,0.56179,1.6249,1.47914,1.36476,2.84911e-05,2.84911e-05,2.84911e-05
41,57.9652,0.75765,0.92574,1.06114,0.68205,0.66551,0.76929,0.48791,1.59495,1.48938,1.35656,2.87504e-05,2.87504e-05,2.87504e-05
42,59.1918,0.88003,1.88283,1.2773,0.68205,0.66551,0.76929,0.48791,1.59495,1.48938,1.35656,2.89861e-05,2.89861e-05,2.89861e-05
43,60.467,0.84655,1.22147,1.22837,0.67828,0.65,0.76238,0.47306,1.62168,1.52879,1.38443,2.91983e-05,2.91983e-05,2.91983e-05
44,61.7707,1.07497,0.98523,1.4513,0.67828,0.65,0.76238,0.47306,1.62168,1.52879,1.38443,2.93869e-05,2.93869e-05,2.93869e-05
45,63.0564,0.61284,0.92502,0.99461,0.69173,0.65,0.76251,0.47229,1.61013,1.5454,1.38094,2.9552e-05,2.9552e-05,2.9552e-05
46,64.3892,0.81888,0.9971,1.26848,0.69173,0.65,0.76251,0.47229,1.61013,1.5454,1.38094,2.96935e-05,2.96935e-05,2.96935e-05
47,65.6728,0.8852,1.46209,1.36107,0.73609,0.65,0.7323,0.43907,1.62286,1.60166,1.38704,2.98114e-05,2.98114e-05,2.98114e-05
48,66.9347,0.78689,1.63244,1.172,0.73609,0.65,0.7323,0.43907,1.62286,1.60166,1.38704,2.99058e-05,2.99058e-05,2.99058e-05
49,68.183,0.67312,0.72239,1.24557,0.68326,0.65151,0.70529,0.41424,1.62426,1.62157,1.3881,2.99766e-05,2.99766e-05,2.99766e-05
50,69.4006,0.80277,0.81115,1.29448,0.68326,0.65151,0.70529,0.41424,1.62426,1.62157,1.3881,3.00238e-05,3.00238e-05,3.00238e-05
51,70.6588,0.85909,0.83735,1.15605,0.65652,0.67662,0.69629,0.40609,1.59282,1.63413,1.38104,3.00475e-05,3.00475e-05,3.00475e-05
52,71.8754,0.97432,0.96779,1.34781,0.65652,0.67662,0.69629,0.40609,1.59282,1.63413,1.38104,3.00476e-05,3.00476e-05,3.00476e-05
53,73.0999,0.64637,0.70011,1.17845,0.65652,0.67662,0.69629,0.40609,1.59282,1.63413,1.38104,3.00242e-05,3.00242e-05,3.00242e-05
54,74.3791,0.78506,0.90186,1.23276,0.69056,0.67146,0.69636,0.4082,1.57802,1.67501,1.38152,2.99772e-05,2.99772e-05,2.99772e-05
55,75.6318,0.80042,0.952,1.1211,0.69056,0.67146,0.69636,0.4082,1.57802,1.67501,1.38152,2.99066e-05,2.99066e-05,2.99066e-05
56,76.8517,1.09858,1.44532,1.5875,0.69056,0.67146,0.69636,0.4082,1.57802,1.67501,1.38152,2.98125e-05,2.98125e-05,2.98125e-05
57,78.2668,0.94346,1.50051,1.37401,0.72331,0.50202,0.69284,0.40375,1.58563,1.70661,1.39137,2.96948e-05,2.96948e-05,2.96948e-05
58,80.1564,0.8647,1.45461,1.26652,0.72331,0.50202,0.69284,0.40375,1.58563,1.70661,1.39137,2.95535e-05,2.95535e-05,2.95535e-05
59,81.4811,0.78121,0.82735,1.15363,0.72331,0.50202,0.69284,0.40375,1.58563,1.70661,1.39137,2.93887e-05,2.93887e-05,2.93887e-05
60,83.2412,0.99688,0.77734,1.54581,0.8556,0.48119,0.67795,0.37421,1.61091,1.77381,1.40808,2.92003e-05,2.92003e-05,2.92003e-05
61,85.094,0.63481,0.68085,1.06328,0.8556,0.48119,0.67795,0.37421,1.61091,1.77381,1.40808,2.89884e-05,2.89884e-05,2.89884e-05
62,86.7395,0.70049,0.89376,1.04554,0.8556,0.48119,0.67795,0.37421,1.61091,1.77381,1.40808,2.87529e-05,2.87529e-05,2.87529e-05
63,88.4585,0.76907,0.8233,1.15358,0.85528,0.47856,0.67726,0.37372,1.64138,1.85313,1.42522,2.84938e-05,2.84938e-05,2.84938e-05
64,90.1261,0.62619,0.65291,1.06695,0.85528,0.47856,0.67726,0.37372,1.64138,1.85313,1.42522,2.82112e-05,2.82112e-05,2.82112e-05
65,91.8434,0.6611,0.68231,1.21624,0.85528,0.47856,0.67726,0.37372,1.64138,1.85313,1.42522,2.7905e-05,2.7905e-05,2.7905e-05
66,93.5345,0.68436,0.91555,1.08119,0.85193,0.47748,0.67714,0.37589,1.70555,1.911,1.44669,2.75753e-05,2.75753e-05,2.75753e-05
67,95.2607,0.73665,1.10931,1.10186,0.85193,0.47748,0.67714,0.37589,1.70555,1.911,1.44669,2.7222e-05,2.7222e-05,2.7222e-05
68,96.9042,1.04242,1.77333,1.40555,0.85193,0.47748,0.67714,0.37589,1.70555,1.911,1.44669,2.68451e-05,2.68451e-05,2.68451e-05
69,98.5851,0.64229,1.09554,1.12532,0.84142,0.4864,0.56788,0.28283,1.65438,1.9519,1.4199,2.64447e-05,2.64447e-05,2.64447e-05
70,100.18,0.97702,0.86595,1.429,0.84142,0.4864,0.56788,0.28283,1.65438,1.9519,1.4199,2.60207e-05,2.60207e-05,2.60207e-05
71,101.777,0.94809,1.28824,1.31602,0.84142,0.4864,0.56788,0.28283,1.65438,1.9519,1.4199,2.55731e-05,2.55731e-05,2.55731e-05
72,103.474,0.59403,0.63781,1.07473,0.84034,0.4854,0.54131,0.27389,1.7231,2.00047,1.44457,2.5102e-05,2.5102e-05,2.5102e-05
73,104.841,0.68672,0.90519,1.04376,0.84034,0.4854,0.54131,0.27389,1.7231,2.00047,1.44457,2.46073e-05,2.46073e-05,2.46073e-05
74,106.283,0.72458,0.5937,1.21903,0.84034,0.4854,0.54131,0.27389,1.7231,2.00047,1.44457,2.40891e-05,2.40891e-05,2.40891e-05
75,107.993,0.72864,0.55266,1.14087,0.84021,0.48259,0.54721,0.26849,1.7739,1.99385,1.46452,2.35472e-05,2.35472e-05,2.35472e-05
76,109.668,0.63407,0.73321,1.12757,0.84021,0.48259,0.54721,0.26849,1.7739,1.99385,1.46452,2.29819e-05,2.29819e-05,2.29819e-05
77,111.332,0.68076,0.6588,1.11161,0.84021,0.48259,0.54721,0.26849,1.7739,1.99385,1.46452,2.23929e-05,2.23929e-05,2.23929e-05
78,113.05,0.87349,1.00215,1.18445,0.83366,0.48817,0.5442,0.26805,1.73727,2.01263,1.44804,2.17805e-05,2.17805e-05,2.17805e-05
79,114.694,0.58984,0.74871,1.08421,0.83366,0.48817,0.5442,0.26805,1.73727,2.01263,1.44804,2.11444e-05,2.11444e-05,2.11444e-05
80,116.379,0.72172,0.7228,1.18054,0.83366,0.48817,0.5442,0.26805,1.73727,2.01263,1.44804,2.04848e-05,2.04848e-05,2.04848e-05
81,118.103,0.51218,0.50361,0.97371,0.84247,0.48005,0.53436,0.26405,1.77519,2.05535,1.4753,1.98016e-05,1.98016e-05,1.98016e-05
82,119.769,0.80743,0.67147,1.1431,0.84247,0.48005,0.53436,0.26405,1.77519,2.05535,1.4753,1.90949e-05,1.90949e-05,1.90949e-05
83,121.415,0.76667,0.82215,1.19695,0.84247,0.48005,0.53436,0.26405,1.77519,2.05535,1.4753,1.83646e-05,1.83646e-05,1.83646e-05
84,123.208,0.78339,0.56569,1.20382,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.76107e-05,1.76107e-05,1.76107e-05
85,124.86,0.56568,0.72736,1.10834,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.68333e-05,1.68333e-05,1.68333e-05
86,126.515,0.73573,0.66176,1.10111,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.60323e-05,1.60323e-05,1.60323e-05
87,128.165,0.75004,0.79184,1.04975,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.52077e-05,1.52077e-05,1.52077e-05
88,129.846,0.78955,0.85709,1.37928,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.43596e-05,1.43596e-05,1.43596e-05
89,131.454,0.99023,0.92347,1.47941,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.34879e-05,1.34879e-05,1.34879e-05
90,133.027,0.64881,0.64183,1.01081,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.25927e-05,1.25927e-05,1.25927e-05
91,134.868,0.45939,0.52077,0.8899,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.16739e-05,1.16739e-05,1.16739e-05
92,136.552,0.71376,0.69858,0.9943,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,1.07315e-05,1.07315e-05,1.07315e-05
93,137.776,0.4771,0.45792,0.98673,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,9.76562e-06,9.76562e-06,9.76562e-06
94,138.982,0.55047,0.43478,0.88748,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,8.77613e-06,8.77613e-06,8.77613e-06
95,140.155,0.43529,0.45198,0.89775,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,7.76308e-06,7.76308e-06,7.76308e-06
96,141.377,0.43919,0.50733,0.9614,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,6.72648e-06,6.72648e-06,6.72648e-06
97,142.542,0.68953,0.6047,1.04758,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,5.6663e-06,5.6663e-06,5.6663e-06
98,143.725,0.51757,0.48358,0.90883,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,4.58257e-06,4.58257e-06,4.58257e-06
99,144.903,0.47591,0.46399,0.90897,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,3.47528e-06,3.47528e-06,3.47528e-06
100,146.115,0.55755,0.492,1.00429,0.83619,0.46667,0.60765,0.33969,1.70789,1.87504,1.41277,2.34442e-06,2.34442e-06,2.34442e-06
