epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08083,3.44236,5.57275,4.33973,0,0,0,0,3.38003,5.96607,4.1588,0,0,0
2,7.45357,3.28395,5.63161,4.21308,0,0,0,0,3.38019,5.96613,4.15872,1.17822e-06,1.17822e-06,1.17822e-06
3,8.78527,3.18087,5.39173,4.26674,0,0,0,0,3.38036,5.96622,4.15864,2.33288e-06,2.33288e-06,2.33288e-06
4,10.0797,3.14297,5.51613,4.34743,0,0,0,0,3.38053,5.96631,4.15856,3.46397e-06,3.46397e-06,3.46397e-06
5,11.3448,3.42314,5.44642,4.26089,0,0,0,0,3.3807,5.96652,4.15848,4.5715e-06,4.5715e-06,4.5715e-06
6,12.6147,2.82384,5.33786,4.23147,0,0,0,0,3.38084,5.96657,4.15841,5.65548e-06,5.65548e-06,5.65548e-06
7,13.8761,2.8849,5.63407,4.42434,0,0,0,0,3.38098,5.96668,4.15834,6.71588e-06,6.71588e-06,6.71588e-06
8,15.1284,3.53506,5.53503,4.35872,0,0,0,0,3.38114,5.96689,4.15825,7.75273e-06,7.75273e-06,7.75273e-06
9,16.3839,3.11277,5.50851,4.24906,0,0,0,0,3.38131,5.96708,4.15816,8.76602e-06,8.76602e-06,8.76602e-06
10,17.6432,3.48323,5.48806,4.25123,0,0,0,0,3.38148,5.96741,4.15808,9.75574e-06,9.75574e-06,9.75574e-06
11,19.0467,3.36296,5.7012,4.26928,0,0,0,0,3.38164,5.96755,4.15799,1.07219e-05,1.07219e-05,1.07219e-05
12,20.2846,3.09066,5.70707,4.28236,0,0,0,0,3.38179,5.96774,4.15792,1.16645e-05,1.16645e-05,1.16645e-05
13,21.5329,3.22744,5.60583,4.21518,0,0,0,0,3.38195,5.96794,4.15785,1.25835e-05,1.25835e-05,1.25835e-05
14,22.7747,2.73222,5.41505,4.31195,0,0,0,0,3.38211,5.96843,4.15778,1.3479e-05,1.3479e-05,1.3479e-05
15,24.0164,3.02373,5.71274,4.26556,0,0,0,0,3.38229,5.96887,4.15771,1.43509e-05,1.43509e-05,1.43509e-05
16,25.2642,3.48169,5.43944,4.34995,0,0,0,0,3.38245,5.96921,4.15765,1.51993e-05,1.51993e-05,1.51993e-05
17,26.5606,3.13232,5.62961,4.40409,0,0,0,0,3.38258,5.96954,4.15762,1.60241e-05,1.60241e-05,1.60241e-05
18,27.7784,2.953,5.71423,4.25033,0,0,0,0,3.38258,5.96954,4.15762,1.68253e-05,1.68253e-05,1.68253e-05
19,29.0443,3.30541,5.56971,4.20113,0,0,0,0,3.3829,5.96993,4.15754,1.7603e-05,1.7603e-05,1.7603e-05
20,30.2624,3.2266,5.67829,4.2826,0,0,0,0,3.3829,5.96993,4.15754,1.83571e-05,1.83571e-05,1.83571e-05
21,31.5198,3.09838,5.48734,4.35579,0,0,0,0,3.38323,5.97038,4.15746,1.90876e-05,1.90876e-05,1.90876e-05
22,32.7345,3.0146,5.47799,4.31701,0,0,0,0,3.38323,5.97038,4.15746,1.97946e-05,1.97946e-05,1.97946e-05
23,34.075,3.03532,5.57011,4.22813,0,0,0,0,3.38354,5.97054,4.1574,2.0478e-05,2.0478e-05,2.0478e-05
24,35.2685,3.25064,5.33768,4.21518,0,0,0,0,3.38354,5.97054,4.1574,2.11379e-05,2.11379e-05,2.11379e-05
25,36.5089,3.36258,5.46383,4.29824,0,0,0,0,3.38388,5.97168,4.15737,2.17741e-05,2.17741e-05,2.17741e-05
26,37.7139,3.42812,5.56744,4.2964,0,0,0,0,3.38388,5.97168,4.15737,2.23869e-05,2.23869e-05,2.23869e-05
27,38.9779,3.15548,5.52113,4.24578,0,0,0,0,3.38421,5.97249,4.15735,2.2976e-05,2.2976e-05,2.2976e-05
28,40.2469,3.30008,5.54459,4.27385,0,0,0,0,3.38421,5.97249,4.15735,2.35417e-05,2.35417e-05,2.35417e-05
29,41.491,3.10539,5.65939,4.26646,0,0,0,0,3.38451,5.97276,4.15736,2.40837e-05,2.40837e-05,2.40837e-05
30,42.6919,3.21241,5.47831,4.22718,0,0,0,0,3.38451,5.97276,4.15736,2.46022e-05,2.46022e-05,2.46022e-05
31,43.9446,3.18507,5.43575,4.27304,0,0,0,0,3.38483,5.97341,4.15735,2.50971e-05,2.50971e-05,2.50971e-05
32,45.1542,2.95417,5.59839,4.29851,0,0,0,0,3.38483,5.97341,4.15735,2.55685e-05,2.55685e-05,2.55685e-05
33,46.4409,2.68585,5.723,4.40002,0,0,0,0,3.3851,5.97382,4.15742,2.60163e-05,2.60163e-05,2.60163e-05
34,47.6497,2.97304,5.57891,4.22485,0,0,0,0,3.3851,5.97382,4.15742,2.64405e-05,2.64405e-05,2.64405e-05
35,48.9665,3.15147,5.33115,4.30157,0,0,0,0,3.38534,5.97423,4.15751,2.68412e-05,2.68412e-05,2.68412e-05
36,50.186,2.92761,5.5575,4.33662,0,0,0,0,3.38534,5.97423,4.15751,2.72183e-05,2.72183e-05,2.72183e-05
37,51.4384,3.5947,5.5658,4.2877,0,0,0,0,3.38556,5.97467,4.15763,2.75718e-05,2.75718e-05,2.75718e-05
38,52.6478,2.73178,5.77523,4.31836,0,0,0,0,3.38556,5.97467,4.15763,2.79018e-05,2.79018e-05,2.79018e-05
39,53.8845,2.91772,5.583,4.40453,0,0,0,0,3.38579,5.97464,4.15779,2.82082e-05,2.82082e-05,2.82082e-05
40,55.1099,2.99645,5.46114,4.32276,0,0,0,0,3.38579,5.97464,4.15779,2.84911e-05,2.84911e-05,2.84911e-05
41,56.3474,3.2763,5.67901,4.29049,0,0,0,0,3.386,5.97524,4.15784,2.87504e-05,2.87504e-05,2.87504e-05
42,57.546,3.02697,5.82964,4.20708,0,0,0,0,3.386,5.97524,4.15784,2.89861e-05,2.89861e-05,2.89861e-05
43,58.8128,3.15304,5.49871,4.30229,0,0,0,0,3.38623,5.97584,4.15807,2.91983e-05,2.91983e-05,2.91983e-05
44,60.0117,3.30518,5.54143,4.29267,0,0,0,0,3.38623,5.97584,4.15807,2.93869e-05,2.93869e-05,2.93869e-05
45,61.272,2.7589,5.54786,4.29742,0,0,0,0,3.38643,5.97671,4.15835,2.9552e-05,2.9552e-05,2.9552e-05
46,62.4999,3.15749,5.4086,4.27028,0,0,0,0,3.38643,5.97671,4.15835,2.96935e-05,2.96935e-05,2.96935e-05
47,63.8294,3.31989,5.48592,4.30583,0,0,0,0,3.38664,5.97684,4.15866,2.98114e-05,2.98114e-05,2.98114e-05
48,65.0453,3.20871,5.47078,4.2479,0,0,0,0,3.38664,5.97684,4.15866,2.99058e-05,2.99058e-05,2.99058e-05
49,66.2953,2.77298,5.47933,4.25584,0,0,0,0,3.38682,5.97709,4.15901,2.99766e-05,2.99766e-05,2.99766e-05
50,67.4947,2.93706,5.39521,4.2798,0,0,0,0,3.38682,5.97709,4.15901,3.00238e-05,3.00238e-05,3.00238e-05
51,68.7425,3.23825,5.60993,4.21769,0,0,0,0,3.38697,5.97717,4.15938,3.00475e-05,3.00475e-05,3.00475e-05
52,69.9509,3.13039,5.5769,4.25632,0,0,0,0,3.38697,5.97717,4.15938,3.00476e-05,3.00476e-05,3.00476e-05
53,71.1726,2.78405,5.55704,4.36618,0,0,0,0,3.38697,5.97717,4.15938,3.00242e-05,3.00242e-05,3.00242e-05
54,72.4336,3.48377,5.51381,4.21768,0,0,0,0,3.38718,5.97768,4.15979,2.99772e-05,2.99772e-05,2.99772e-05
55,73.6318,2.71452,5.52175,4.31892,0,0,0,0,3.38718,5.97768,4.15979,2.99066e-05,2.99066e-05,2.99066e-05
56,74.8457,3.5361,5.86092,4.23155,0,0,0,0,3.38718,5.97768,4.15979,2.98125e-05,2.98125e-05,2.98125e-05
57,76.095,3.03679,5.40319,4.20925,0,0,0,0,3.38738,5.97802,4.16104,2.96948e-05,2.96948e-05,2.96948e-05
58,77.2987,3.51433,5.40946,4.25347,0,0,0,0,3.38738,5.97802,4.16104,2.95535e-05,2.95535e-05,2.95535e-05
59,78.6128,3.47887,5.53256,4.25899,0,0,0,0,3.38738,5.97802,4.16104,2.93887e-05,2.93887e-05,2.93887e-05
60,79.8518,3.57661,5.62923,4.23605,0,0,0,0,3.38761,5.97813,4.16186,2.92003e-05,2.92003e-05,2.92003e-05
61,81.0593,2.89616,5.6102,4.23484,0,0,0,0,3.38761,5.97813,4.16186,2.89884e-05,2.89884e-05,2.89884e-05
62,82.2795,3.18057,5.51094,4.27724,0,0,0,0,3.38761,5.97813,4.16186,2.87529e-05,2.87529e-05,2.87529e-05
63,83.5277,3.18707,5.39929,4.29845,0,0,0,0,3.38778,5.97864,4.16271,2.84938e-05,2.84938e-05,2.84938e-05
64,84.7456,3.40065,5.53555,4.3121,0,0,0,0,3.38778,5.97864,4.16271,2.82112e-05,2.82112e-05,2.82112e-05
65,85.9479,3.39919,5.56226,4.24383,0,0,0,0,3.38778,5.97864,4.16271,2.7905e-05,2.7905e-05,2.7905e-05
66,87.1891,3.41791,5.6982,4.21752,0,0,0,0,3.38793,5.97858,4.16354,2.75753e-05,2.75753e-05,2.75753e-05
67,88.3964,3.20453,5.48696,4.22538,0,0,0,0,3.38793,5.97858,4.16354,2.7222e-05,2.7222e-05,2.7222e-05
68,89.6064,2.98816,5.34852,4.19915,0,0,0,0,3.38793,5.97858,4.16354,2.68451e-05,2.68451e-05,2.68451e-05
69,90.8583,3.0462,5.48774,4.22995,0,0,0,0,3.38807,5.97865,4.16446,2.64447e-05,2.64447e-05,2.64447e-05
70,92.0955,3.55331,5.47915,4.25633,0,0,0,0,3.38807,5.97865,4.16446,2.60207e-05,2.60207e-05,2.60207e-05
71,93.4152,3.62635,5.5196,4.21031,0,0,0,0,3.38807,5.97865,4.16446,2.55731e-05,2.55731e-05,2.55731e-05
72,94.6625,3.43222,5.46943,4.2383,0,0,0,0,3.38823,5.97852,4.16541,2.5102e-05,2.5102e-05,2.5102e-05
73,95.8755,3.19826,5.36581,4.24197,0,0,0,0,3.38823,5.97852,4.16541,2.46073e-05,2.46073e-05,2.46073e-05
74,97.0956,3.00138,5.35324,4.31625,0,0,0,0,3.38823,5.97852,4.16541,2.40891e-05,2.40891e-05,2.40891e-05
75,98.3457,3.10922,5.39252,4.23147,0,0,0,0,3.38833,5.97826,4.1663,2.35472e-05,2.35472e-05,2.35472e-05
76,99.5646,3.17797,5.40793,4.23027,0,0,0,0,3.38833,5.97826,4.1663,2.29819e-05,2.29819e-05,2.29819e-05
77,100.775,3.25094,5.46168,4.29664,0,0,0,0,3.38833,5.97826,4.1663,2.23929e-05,2.23929e-05,2.23929e-05
78,102.032,3.24521,5.45651,4.25101,0,0,0,0,3.38837,5.97812,4.1671,2.17805e-05,2.17805e-05,2.17805e-05
79,103.247,3.12351,5.5125,4.27065,0,0,0,0,3.38837,5.97812,4.1671,2.11444e-05,2.11444e-05,2.11444e-05
80,104.459,3.1554,5.51145,4.29406,0,0,0,0,3.38837,5.97812,4.1671,2.04848e-05,2.04848e-05,2.04848e-05
81,105.717,2.71387,5.53143,4.2343,0,0,0,0,3.38844,5.97811,4.16783,1.98016e-05,1.98016e-05,1.98016e-05
82,106.932,3.34118,5.52717,4.27212,0,0,0,0,3.38844,5.97811,4.16783,1.90949e-05,1.90949e-05,1.90949e-05
83,108.229,3.48005,5.50747,4.25496,0,0,0,0,3.38844,5.97811,4.16783,1.83646e-05,1.83646e-05,1.83646e-05
84,109.491,3.14694,5.69997,4.23766,0,0,0,0,3.38844,5.97817,4.16859,1.76107e-05,1.76107e-05,1.76107e-05
85,110.7,3.23952,5.5196,4.2263,0,0,0,0,3.38844,5.97817,4.16859,1.68333e-05,1.68333e-05,1.68333e-05
86,111.912,3.13591,5.81765,4.25582,0,0,0,0,3.38844,5.97817,4.16859,1.60323e-05,1.60323e-05,1.60323e-05
87,113.115,3.32876,5.70427,4.21992,0,0,0,0,3.38844,5.97817,4.16859,1.52077e-05,1.52077e-05,1.52077e-05
88,114.359,2.93288,5.52486,4.18966,0,0,0,0,3.39358,5.97774,4.17019,1.43596e-05,1.43596e-05,1.43596e-05
89,115.568,2.92028,5.39903,4.26436,0,0,0,0,3.39358,5.97774,4.17019,1.34879e-05,1.34879e-05,1.34879e-05
90,116.781,3.08243,5.53057,4.23071,0,0,0,0,3.39358,5.97774,4.17019,1.25927e-05,1.25927e-05,1.25927e-05
91,117.992,2.75622,5.69555,4.19009,0,0,0,0,3.39358,5.97774,4.17019,1.16739e-05,1.16739e-05,1.16739e-05
92,119.231,2.54439,5.88035,4.30611,0,0,0,0,3.39339,5.97777,4.17113,1.07315e-05,1.07315e-05,1.07315e-05
93,120.444,3.03555,5.51431,4.27241,0,0,0,0,3.39339,5.97777,4.17113,9.76562e-06,9.76562e-06,9.76562e-06
94,121.647,2.76189,5.865,4.23704,0,0,0,0,3.39339,5.97777,4.17113,8.77613e-06,8.77613e-06,8.77613e-06
95,122.914,2.86056,5.64361,4.33182,0,0,0,0,3.39339,5.97777,4.17113,7.76308e-06,7.76308e-06,7.76308e-06
96,124.21,2.91535,5.75706,4.32572,0,0,0,0,3.38801,5.97839,4.17217,6.72648e-06,6.72648e-06,6.72648e-06
