epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,63.2268,3.15749,5.4086,4.27028,0,0,0,0,3.38643,5.97671,4.15835,2.96935e-05,2.96935e-05,2.96935e-05
47,64.4763,3.31989,5.48592,4.30583,0,0,0,0,3.38664,5.97684,4.15866,2.98114e-05,2.98114e-05,2.98114e-05
48,65.687,3.20871,5.47078,4.2479,0,0,0,0,3.38664,5.97684,4.15866,2.99058e-05,2.99058e-05,2.99058e-05
49,67.0088,2.77298,5.47933,4.25584,0,0,0,0,3.38682,5.97709,4.15901,2.99766e-05,2.99766e-05,2.99766e-05
50,68.2348,2.93706,5.39521,4.2798,0,0,0,0,3.38682,5.97709,4.15901,3.00238e-05,3.00238e-05,3.00238e-05
51,69.4883,3.23825,5.60993,4.21769,0,0,0,0,3.38697,5.97717,4.15938,3.00475e-05,3.00475e-05,3.00475e-05
52,70.6963,3.13039,5.5769,4.25632,0,0,0,0,3.38697,5.97717,4.15938,3.00476e-05,3.00476e-05,3.00476e-05
53,71.9259,2.78405,5.55704,4.36618,0,0,0,0,3.38697,5.97717,4.15938,3.00242e-05,3.00242e-05,3.00242e-05
54,73.1913,3.48377,5.51381,4.21768,0,0,0,0,3.38718,5.97768,4.15979,2.99772e-05,2.99772e-05,2.99772e-05
55,74.3934,2.71452,5.52175,4.31892,0,0,0,0,3.38718,5.97768,4.15979,2.99066e-05,2.99066e-05,2.99066e-05
56,75.6071,3.5361,5.86092,4.23155,0,0,0,0,3.38718,5.97768,4.15979,2.98125e-05,2.98125e-05,2.98125e-05
57,76.8444,3.03679,5.40319,4.20925,0,0,0,0,3.38738,5.97802,4.16104,2.96948e-05,2.96948e-05,2.96948e-05
58,78.125,3.51433,5.40946,4.25347,0,0,0,0,3.38738,5.97802,4.16104,2.95535e-05,2.95535e-05,2.95535e-05
59,79.3647,3.47887,5.53256,4.25899,0,0,0,0,3.38738,5.97802,4.16104,2.93887e-05,2.93887e-05,2.93887e-05
60,80.6185,3.57661,5.62923,4.23605,0,0,0,0,3.38761,5.97813,4.16186,2.92003e-05,2.92003e-05,2.92003e-05
61,81.8422,2.89616,5.6102,4.23484,0,0,0,0,3.38761,5.97813,4.16186,2.89884e-05,2.89884e-05,2.89884e-05
62,83.0757,3.18057,5.51094,4.27724,0,0,0,0,3.38761,5.97813,4.16186,2.87529e-05,2.87529e-05,2.87529e-05
63,84.3463,3.18707,5.39929,4.29845,0,0,0,0,3.38778,5.97864,4.16271,2.84938e-05,2.84938e-05,2.84938e-05
64,85.5716,3.40065,5.53555,4.3121,0,0,0,0,3.38778,5.97864,4.16271,2.82112e-05,2.82112e-05,2.82112e-05
65,86.8101,3.39919,5.56226,4.24383,0,0,0,0,3.38778,5.97864,4.16271,2.7905e-05,2.7905e-05,2.7905e-05
66,88.0602,3.41791,5.6982,4.21752,0,0,0,0,3.38793,5.97858,4.16354,2.75753e-05,2.75753e-05,2.75753e-05
67,89.2882,3.20453,5.48696,4.22538,0,0,0,0,3.38793,5.97858,4.16354,2.7222e-05,2.7222e-05,2.7222e-05
68,90.5237,2.98816,5.34852,4.19915,0,0,0,0,3.38793,5.97858,4.16354,2.68451e-05,2.68451e-05,2.68451e-05
69,91.7985,3.0462,5.48774,4.22995,0,0,0,0,3.38807,5.97865,4.16446,2.64447e-05,2.64447e-05,2.64447e-05
70,93.0847,3.55331,5.47915,4.25633,0,0,0,0,3.38807,5.97865,4.16446,2.60207e-05,2.60207e-05,2.60207e-05
71,94.3045,3.62635,5.5196,4.21031,0,0,0,0,3.38807,5.97865,4.16446,2.55731e-05,2.55731e-05,2.55731e-05
72,95.5788,3.43222,5.46943,4.2383,0,0,0,0,3.38823,5.97852,4.16541,2.5102e-05,2.5102e-05,2.5102e-05
73,96.815,3.19826,5.36581,4.24197,0,0,0,0,3.38823,5.97852,4.16541,2.46073e-05,2.46073e-05,2.46073e-05
74,98.0284,3.00138,5.35324,4.31625,0,0,0,0,3.38823,5.97852,4.16541,2.40891e-05,2.40891e-05,2.40891e-05
75,99.2771,3.10922,5.39252,4.23147,0,0,0,0,3.38833,5.97826,4.1663,2.35472e-05,2.35472e-05,2.35472e-05
76,100.496,3.17797,5.40793,4.23027,0,0,0,0,3.38833,5.97826,4.1663,2.29819e-05,2.29819e-05,2.29819e-05
77,101.706,3.25094,5.46168,4.29664,0,0,0,0,3.38833,5.97826,4.1663,2.23929e-05,2.23929e-05,2.23929e-05
78,102.969,3.24521,5.45651,4.25101,0,0,0,0,3.38837,5.97812,4.1671,2.17805e-05,2.17805e-05,2.17805e-05
79,104.174,3.12351,5.5125,4.27065,0,0,0,0,3.38837,5.97812,4.1671,2.11444e-05,2.11444e-05,2.11444e-05
80,105.383,3.1554,5.51145,4.29406,0,0,0,0,3.38837,5.97812,4.1671,2.04848e-05,2.04848e-05,2.04848e-05
81,106.645,2.71387,5.53143,4.2343,0,0,0,0,3.38844,5.97811,4.16783,1.98016e-05,1.98016e-05,1.98016e-05
82,107.902,3.34118,5.52717,4.27212,0,0,0,0,3.38844,5.97811,4.16783,1.90949e-05,1.90949e-05,1.90949e-05
83,109.13,3.48005,5.50747,4.25496,0,0,0,0,3.38844,5.97811,4.16783,1.83646e-05,1.83646e-05,1.83646e-05
84,110.374,3.14694,5.69997,4.23766,0,0,0,0,3.38844,5.97817,4.16859,1.76107e-05,1.76107e-05,1.76107e-05
85,111.582,3.23952,5.5196,4.2263,0,0,0,0,3.38844,5.97817,4.16859,1.68333e-05,1.68333e-05,1.68333e-05
86,113.105,3.13591,5.81765,4.25582,0,0,0,0,3.38844,5.97817,4.16859,1.60323e-05,1.60323e-05,1.60323e-05
87,114.321,3.32876,5.70427,4.21992,0,0,0,0,3.38844,5.97817,4.16859,1.52077e-05,1.52077e-05,1.52077e-05
88,115.565,2.93288,5.52486,4.18966,0,0,0,0,3.39358,5.97774,4.17019,1.43596e-05,1.43596e-05,1.43596e-05
89,116.776,2.92028,5.39903,4.26436,0,0,0,0,3.39358,5.97774,4.17019,1.34879e-05,1.34879e-05,1.34879e-05
90,118.031,3.08243,5.53057,4.23071,0,0,0,0,3.39358,5.97774,4.17019,1.25927e-05,1.25927e-05,1.25927e-05
91,119.242,2.75622,5.69555,4.19009,0,0,0,0,3.39358,5.97774,4.17019,1.16739e-05,1.16739e-05,1.16739e-05
92,120.487,2.54439,5.88035,4.30611,0,0,0,0,3.39339,5.97777,4.17113,1.07315e-05,1.07315e-05,1.07315e-05
93,121.695,3.03555,5.51431,4.27241,0,0,0,0,3.39339,5.97777,4.17113,9.76562e-06,9.76562e-06,9.76562e-06
94,122.975,2.76189,5.865,4.23704,0,0,0,0,3.39339,5.97777,4.17113,8.77613e-06,8.77613e-06,8.77613e-06
95,124.182,2.86056,5.64361,4.33182,0,0,0,0,3.39339,5.97777,4.17113,7.76308e-06,7.76308e-06,7.76308e-06
96,125.433,2.91535,5.75706,4.32572,0,0,0,0,3.38801,5.97839,4.17217,6.72648e-06,6.72648e-06,6.72648e-06
97,126.637,2.69027,5.66102,4.26399,0,0,0,0,3.38801,5.97839,4.17217,5.6663e-06,5.6663e-06,5.6663e-06
98,127.836,2.90169,5.93215,4.3741,0,0,0,0,3.38801,5.97839,4.17217,4.58257e-06,4.58257e-06,4.58257e-06
99,129.05,2.90547,5.92395,4.2416,0,0,0,0,3.38801,5.97839,4.17217,3.47528e-06,3.47528e-06,3.47528e-06
100,130.297,2.88851,5.532,4.24709,0,0,0,0,3.38772,5.97865,4.17336,2.34442e-06,2.34442e-06,2.34442e-06
